city,scf,zip_code
AUGUSTA,298,298xx
SAVANNAH,299,299xx
DULUTH,300,300xx
DULUTH,301,301xx
ATLANTA,302,302xx
ATLANTA,303,303xx
SWAINSBORO,304,304xx
ATHENS,305,305xx
ATHENS,306,306xx
CHATTANOOGA,307,307xx
AUGUSTA,308,308xx
AUGUSTA,309,309xx
MACON,310,310xx
ATLANTA,311,311xx
MACON,312,312xx
SAVANNAH,313,313xx
SAVANNAH,314,314xx
WAYCROSS,315,315xx
VALDOSTA,316,316xx
ALBANY,317,317xx
COLUMBUS,318,318xx
COLUMBUS,319,319xx
JACKSONVILLE,320,320xx
DAYTONA BEACH,321,321xx
JACKSONVILLE,322,322xx
TALLAHASSEE,323,323xx
PANAMA CITY,324,324xx
PENSACOLA,325,325xx
GAINESVILLE,326,326xx
MID FLORIDA,327,327xx
ORLANDO,328,328xx
ORLANDO,329,329xx
PEMBROKE PINES,330,330xx
MIAMI,331,331xx
MIAMI,332,332xx
FORT LAUDERDALE,333,333xx
WEST PALM BEACH,334,334xx
TAMPA,335,335xx
TAMPA,336,336xx
SAINT PETERSBURG,337,337xx
LAKELAND,338,338xx
FORT MYERS,339,339xx
MIAMI,340,340xx
FORT MYERS,341,341xx
SARASOTA,342,342xx
GAINESVILLE,344,344xx
TAMPA,346,346xx
ORLANDO,347,347xx
WEST PALM BEACH,349,349xx
BIRMINGHAM,350,350xx
BIRMINGHAM,351,351xx
BIRMINGHAM,352,352xx
OTHERS,353,353xx
TUSCALOOSA,354,354xx
BIRMINGHAM,355,355xx
HUNTSVILLE,356,356xx
HUNTSVILLE,357,357xx
HUNTSVILLE,358,358xx
BIRMINGHAM,359,359xx
MONTGOMERY,360,360xx
MONTGOMERY,361,361xx
ANNISTON,362,362xx
DOTHAN,363,363xx
EVERGREEN,364,364xx
MOBILE,365,365xx
MOBILE,366,366xx
MONTGOMERY,367,367xx
MONTGOMERY,368,368xx
MERIDIAN,369,369xx
NASHVILLE,370,370xx
NASHVILLE,371,371xx
NASHVILLE,372,372xx
CHATTANOOGA,373,373xx
CHATTANOOGA,374,374xx
MEMPHIS,375,375xx
JOHNSON CITY,376,376xx
KNOXVILLE,377,377xx
KNOXVILLE,378,378xx
KNOXVILLE,379,379xx
MEMPHIS,380,380xx
MEMPHIS,381,381xx
MC KENZIE,382,382xx
JACKSON,383,383xx
COLUMBIA,384,384xx
COOKEVILLE,385,385xx
MEMPHIS,386,386xx
GREENVILLE,387,387xx
TUPELO,388,388xx
GRENADA,389,389xx
JACKSON,390,390xx
JACKSON,391,391xx
JACKSON,392,392xx
MERIDIAN,393,393xx
HATTIESBURG,394,394xx
GULFPORT,395,395xx
MCCOMB,396,396xx
COLUMBUS,397,397xx
ALBANY,398,398xx
ATLANTA,399,399xx
LOUISVILLE,400,400xx
LOUISVILLE,401,401xx
LOUISVILLE,402,402xx
LEXINGTON,403,403xx
LEXINGTON,404,404xx
LEXINGTON,405,405xx
LEXINGTON,406,406xx
LONDON,407,407xx
LONDON,408,408xx
LONDON,409,409xx
CINCINNATI,410,410xx
ASHLAND,411,411xx
ASHLAND,412,412xx
CAMPTON,413,413xx
CAMPTON,414,414xx
PIKEVILLE,415,415xx
PIKEVILLE,416,416xx
HAZARD,417,417xx
HAZARD,418,418xx
PADUCAH,420,420xx
BOWLING GREEN,421,421xx
BOWLING GREEN,422,422xx
OWENSBORO,423,423xx
OWENSBORO,424,424xx
SOMERSET,425,425xx
SOMERSET,426,426xx
ELIZABETHTOWN,427,427xx
COLUMBUS,430,430xx
COLUMBUS,431,431xx
COLUMBUS,432,432xx
COLUMBUS,433,433xx
TOLEDO,434,434xx
